"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"1";"";"22-23-2061";"MPX5700";"X1";".100" (2.54mm) Center Header - 6 Pin";"";"";"";"";"";
"1";"1000n";"C-EUC0805";"C0805";"C4";"CAPACITOR, European symbol";"";"";"";"";"C";
"3";"100n";"C-EUC0805";"C0805";"C1, C2, C11";"CAPACITOR, European symbol";"";"";"";"";"C";
"1";"10n";"C-EUC0805";"C0805";"C5";"CAPACITOR, European symbol";"";"";"";"";"C";
"1";"330n";"C-EUC0805";"C0805";"C3";"CAPACITOR, European symbol";"";"";"";"";"C";
"1";"53261-10";"53261-10";"53261-10";"X2";"CONNECTOR";"MOLEX";"";"unknown";"unknown";"";
"1";"750";"R-EU_R0805";"R0805";"R12";"RESISTOR, European symbol";"";"";"";"";"R";
"2";"GUVA-C32SM";"GUVA-C32SM";"GUVA-C32SM";"I2C1, I2C2";"";"";"";"";"";"";
"1";"HDC1080";"HDC1080";"TI-S-PWSON-N6";"U$1";"";"";"";"";"";"";
"1";"JST-XH-07-PIN-LONG-PAD";"JST-XH-07-PIN-LONG-PAD";"JST-XH-07-PACKAGE-LONG-PAD";"X4";"JST XH Connector 2 Pin";"";"";"";"";"";
